AreaName,minLat,maxLat,minLong,maxLong
Comleroy, -33.38, -33.0931176, 150.78448429, 151.2087900435
Yaouk,-35.96021682698345, -35.71831894036284, 148.7428497953762, 149.0150704273652
Piliga,  -31.069826237629815, -30.659188247907124, 148.99253089357404, 149.57756512477508
BlueMountains,  -33.864175153202225,-33.527763870555276, 150.1730435186614, 150.74008344975258
